title,studio,domestic_gross,foreign_gross,year,title_lower,tconst,primary_title,original_title,start_year,runtime_minutes,genres,primary_title_lower,averagerating,numvotes
Toy Story 3,BV,415000000.0,652000000,2010,toy story 3,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",toy story 3,8.3,682218
Inception,WB,292600000.0,535700000,2010,inception,tt1375666,Inception,Inception,2010,148.0,"Action,Adventure,Sci-Fi",inception,8.8,1841066
Shrek Forever After,P/DW,238700000.0,513900000,2010,shrek forever after,tt0892791,Shrek Forever After,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",shrek forever after,6.3,167532
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000,2010,the twilight saga: eclipse,tt1325004,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",the twilight saga: eclipse,5.0,211733
Iron Man 2,Par.,312400000.0,311500000,2010,iron man 2,tt1228705,Iron Man 2,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",iron man 2,7.0,657690
Tangled,BV,200800000.0,391000000,2010,tangled,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",tangled,7.8,366366
Despicable Me,Uni.,251500000.0,291600000,2010,despicable me,tt1323594,Despicable Me,Despicable Me,2010,95.0,"Animation,Comedy,Family",despicable me,7.7,464511
How to Train Your Dragon,P/DW,217600000.0,277300000,2010,how to train your dragon,tt0892769,How to Train Your Dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",how to train your dragon,8.1,611299
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010,the chronicles of narnia: the voyage of the dawn treader,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",the chronicles of narnia: the voyage of the dawn treader,6.3,129663
The King's Speech,Wein.,135500000.0,275400000,2010,the king's speech,tt1504320,The King's Speech,The King's Speech,2010,118.0,"Biography,Drama,History",the king's speech,8.0,593629
The Karate Kid,Sony,176600000.0,182500000,2010,the karate kid,tt1155076,The Karate Kid,The Karate Kid,2010,140.0,"Action,Drama,Family",the karate kid,6.2,146401
Prince of Persia: The Sands of Time,BV,90800000.0,245600000,2010,prince of persia: the sands of time,tt0473075,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",prince of persia: the sands of time,6.6,254975
Black Swan,FoxS,107000000.0,222400000,2010,black swan,tt0947798,Black Swan,Black Swan,2010,108.0,"Drama,Thriller",black swan,8.0,648854
Megamind,P/DW,148400000.0,173500000,2010,megamind,tt1001526,Megamind,Megamind,2010,95.0,"Action,Animation,Comedy",megamind,7.3,207488
Robin Hood,Uni.,105300000.0,216400000,2010,robin hood,tt0955308,Robin Hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",robin hood,6.6,239480
Robin Hood,Uni.,105300000.0,216400000,2010,robin hood,tt2363363,Robin Hood,Robin Hood,2013,92.0,"Action,Drama",robin hood,6.3,78
Robin Hood,Uni.,105300000.0,216400000,2010,robin hood,tt4532826,Robin Hood,Robin Hood,2018,116.0,"Action,Adventure,Thriller",robin hood,5.3,41588
Robin Hood,Uni.,105300000.0,216400000,2010,robin hood,tt6858500,Robin Hood,Robin Hood,2018,,,robin hood,7.6,5
The Last Airbender,Par.,131800000.0,187900000,2010,the last airbender,tt0938283,The Last Airbender,The Last Airbender,2010,103.0,"Action,Adventure,Family",the last airbender,4.1,137734
Little Fockers,Uni.,148400000.0,162200000,2010,little fockers,tt0970866,Little Fockers,Little Fockers,2010,98.0,"Comedy,Romance",little fockers,5.5,99222
Resident Evil: Afterlife,SGem,60100000.0,240100000,2010,resident evil: afterlife,tt1220634,Resident Evil: Afterlife,Resident Evil: Afterlife,2010,96.0,"Action,Adventure,Horror",resident evil: afterlife,5.9,153270
Shutter Island,Par.,128000000.0,166800000,2010,shutter island,tt1130884,Shutter Island,Shutter Island,2010,138.0,"Mystery,Thriller",shutter island,8.1,1005960
Salt,Sony,118300000.0,175200000,2010,salt,tt0944835,Salt,Salt,2010,100.0,"Action,Mystery,Thriller",salt,6.4,277204
Sex and the City 2,WB (NL),95300000.0,193000000,2010,sex and the city 2,tt1261945,Sex and the City 2,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance",sex and the city 2,4.4,69199
The Tourist,Sony,67600000.0,210700000,2010,the tourist,tt1243957,The Tourist,The Tourist,2010,103.0,"Action,Adventure,Thriller",the tourist,6.0,206714
The Expendables,LGF,103100000.0,171400000,2010,the expendables,tt1320253,The Expendables,The Expendables,2010,103.0,"Action,Adventure,Thriller",the expendables,6.5,307897
Grown Ups,Sony,162000000.0,109400000,2010,grown ups,tt1375670,Grown Ups,Grown Ups,2010,102.0,Comedy,grown ups,6.0,210377
True Grit,Par.,171200000.0,81000000,2010,true grit,tt1403865,True Grit,True Grit,2010,110.0,"Adventure,Drama,Western",true grit,7.6,284034
Gulliver's Travels,Fox,42800000.0,194600000,2010,gulliver's travels,tt1320261,Gulliver's Travels,Gulliver's Travels,2010,85.0,"Adventure,Comedy,Family",gulliver's travels,4.9,61178
Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000,2010,percy jackson & the olympians: the lightning thief,tt0814255,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,2010,118.0,"Adventure,Family,Fantasy",percy jackson & the olympians: the lightning thief,5.9,165108
The Social Network,Sony,97000000.0,128000000,2010,the social network,tt1285016,The Social Network,The Social Network,2010,120.0,"Biography,Drama",the social network,7.7,568578
Valentine's Day,WB (NL),110500000.0,106000000,2010,valentine's day,tt0817230,Valentine's Day,Valentine's Day,2010,125.0,"Comedy,Romance",valentine's day,5.7,107171
The Sorcerer's Apprentice,BV,63200000.0,152100000,2010,the sorcerer's apprentice,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family",the sorcerer's apprentice,6.1,143862
Due Date,WB,100500000.0,111200000,2010,due date,tt1231583,Due Date,Due Date,2010,95.0,"Adventure,Comedy",due date,6.5,303523
Eat Pray Love,Sony,80600000.0,124000000,2010,eat pray love,tt0879870,Eat Pray Love,Eat Pray Love,2010,133.0,"Drama,Romance",eat pray love,5.8,77709
Yogi Bear,WB,100200000.0,101300000,2010,yogi bear,tt1302067,Yogi Bear,Yogi Bear,2010,80.0,"Adventure,Animation,Comedy",yogi bear,4.6,18934
Red,Sum.,90400000.0,108600000,2010,red,tt1245526,RED,RED,2010,111.0,"Action,Comedy,Crime",red,7.1,271570
Red,Sum.,90400000.0,108600000,2010,red,tt2181948,Red,Red,2014,,Thriller,red,5.8,9
Red,Sum.,90400000.0,108600000,2010,red,tt4170206,Red,Red,2014,107.0,Drama,red,8.4,8
Red,Sum.,90400000.0,108600000,2010,red,tt8851190,Red,Red,2018,90.0,Drama,red,8.1,26
Paranormal Activity 2,Par.,84800000.0,92800000,2010,paranormal activity 2,tt1536044,Paranormal Activity 2,Paranormal Activity 2,2010,91.0,Horror,paranormal activity 2,5.7,93122
The A-Team,Fox,77200000.0,100000000,2010,the a-team,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",the a-team,6.8,235256
The Other Guys,Sony,119200000.0,51200000,2010,the other guys,tt1386588,The Other Guys,The Other Guys,2010,107.0,"Action,Comedy,Crime",the other guys,6.7,221664
Unstoppable,Fox,81600000.0,86200000,2010,unstoppable,tt0477080,Unstoppable,Unstoppable,2010,98.0,"Action,Thriller",unstoppable,6.8,173019
Unstoppable,Fox,81600000.0,86200000,2010,unstoppable,tt3070502,Unstoppable,Unstoppable,2013,65.0,Documentary,unstoppable,4.3,551
Unstoppable,Fox,81600000.0,86200000,2010,unstoppable,tt9225192,Unstoppable,Seongnan hwangso,2018,116.0,"Action,Crime",unstoppable,6.5,576
Unstoppable,Fox,81600000.0,86200000,2010,unstoppable,tt9906218,Unstoppable,Unstoppable,2019,84.0,Documentary,unstoppable,8.1,8
The Book of Eli,WB,94800000.0,62300000,2010,the book of eli,tt1037705,The Book of Eli,The Book of Eli,2010,118.0,"Action,Adventure,Drama",the book of eli,6.9,271307
The Town,WB,92200000.0,61800000,2010,the town,tt0840361,The Town,The Town,2010,125.0,"Crime,Drama,Thriller",the town,7.6,322524
Date Night,Fox,98700000.0,53600000,2010,date night,tt1279935,Date Night,Date Night,2010,88.0,"Comedy,Crime,Romance",date night,6.3,144683
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000,2010,legend of the guardians: the owls of ga'hoole,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,2010,97.0,"Action,Adventure,Animation",legend of the guardians: the owls of ga'hoole,7.0,73790
The Wolfman,Uni.,62000000.0,77800000,2010,the wolfman,tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",the wolfman,5.8,97873
The Bounty Hunter,Sony,67099999.0,69300000,2010,the bounty hunter,tt1038919,The Bounty Hunter,The Bounty Hunter,2010,110.0,"Action,Comedy,Romance",the bounty hunter,5.6,112444
The Bounty Hunter,Sony,67099999.0,69300000,2010,the bounty hunter,tt1472211,The Bounty Hunter,The Bounty Hunter,2010,,,the bounty hunter,6.3,29
Wall Street: Money Never Sleeps,Fox,52500000.0,82300000,2010,wall street: money never sleeps,tt1027718,Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,2010,133.0,Drama,wall street: money never sleeps,6.2,93486
The Fighter,Par.,93600000.0,35600000,2010,the fighter,tt0964517,The Fighter,The Fighter,2010,116.0,"Biography,Drama,Sport",the fighter,7.8,316539
Predators,Fox,52000000.0,75200000,2010,predators,tt1424381,Predators,Predators,2010,107.0,"Action,Adventure,Sci-Fi",predators,6.4,199764
Dear John,SGem,80000000.0,35000000,2010,dear john,tt0989757,Dear John,Dear John,2010,108.0,"Drama,Romance,War",dear john,6.3,128657
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000,2010,cats & dogs: the revenge of kitty galore,tt1287468,Cats & Dogs: The Revenge of Kitty Galore,Cats & Dogs: The Revenge of Kitty Galore,2010,82.0,"Action,Comedy,Family",cats & dogs: the revenge of kitty galore,4.3,12642
Tooth Fairy,Fox,60000000.0,52400000,2010,tooth fairy,tt0808510,Tooth Fairy,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",tooth fairy,5.0,37939
Tooth Fairy,Fox,60000000.0,52400000,2010,tooth fairy,tt7906260,Tooth Fairy,Toof,2019,86.0,Horror,tooth fairy,2.6,64
Life as We Know It,WB,53400000.0,52300000,2010,life as we know it,tt1055292,Life as We Know It,Life as We Know It,2010,114.0,"Comedy,Drama,Romance",life as we know it,6.6,113077
Hereafter,WB,32700000.0,72500000,2010,hereafter,tt1212419,Hereafter,Hereafter,2010,129.0,"Drama,Fantasy,Romance",hereafter,6.5,87288
The Girl with the Dragon Tattoo,MBox,10100000.0,94300000,2010,the girl with the dragon tattoo,tt1568346,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,2011,158.0,"Crime,Drama,Mystery",the girl with the dragon tattoo,7.8,387580
Killers,LGF,47100000.0,51100000,2010,killers,tt1103153,Killers,Killers,2010,100.0,"Action,Comedy,Romance",killers,5.4,82237
Killers,LGF,47100000.0,51100000,2010,killers,tt2409300,Killers,Killers,2014,137.0,"Action,Crime,Drama",killers,6.5,4472
Kick-Ass,LGF,48100000.0,48100000,2010,kick-ass,tt1250777,Kick-Ass,Kick-Ass,2010,117.0,"Action,Comedy",kick-ass,7.6,497363
Green Zone,Uni.,35100000.0,59800000,2010,green zone,tt0947810,Green Zone,Green Zone,2010,115.0,"Action,Drama,Thriller",green zone,6.8,122132
Nanny McPhee Returns,Uni.,29000000.0,64200000,2010,nanny mcphee returns,tt1415283,Nanny McPhee Returns,Nanny McPhee and the Big Bang,2010,109.0,"Comedy,Family,Fantasy",nanny mcphee returns,6.1,25048
Get Him to the Greek,Uni.,61000000.0,30300000,2010,get him to the greek,tt1226229,Get Him to the Greek,Get Him to the Greek,2010,109.0,"Adventure,Comedy,Music",get him to the greek,6.4,161653
Burlesque,SGem,39400000.0,50100000,2010,burlesque,tt1126591,Burlesque,Burlesque,2010,119.0,"Drama,Music,Musical",burlesque,6.4,71021
Burlesque,SGem,39400000.0,50100000,2010,burlesque,tt1586713,Burlesque,Burlesque,2010,,Drama,burlesque,7.0,45
The Last Song,BV,63000000.0,26100000,2010,the last song,tt1294226,The Last Song,The Last Song,2010,107.0,"Drama,Music,Romance",the last song,6.0,74914
Dinner for Schmucks,P/DW,73000000.0,13800000,2010,dinner for schmucks,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,dinner for schmucks,5.9,91546
Marmaduke,Fox,33600000.0,50100000,2010,marmaduke,tt1392197,Marmaduke,Marmaduke,2010,87.0,"Comedy,Family",marmaduke,4.2,13283
Piranha 3D,W/Dim.,25000000.0,58200000,2010,piranha 3d,tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"Comedy,Horror",piranha 3d,5.4,81327
Edge of Darkness,WB,43300000.0,37800000,2010,edge of darkness,tt1226273,Edge of Darkness,Edge of Darkness,2010,117.0,"Crime,Drama,Mystery",edge of darkness,6.6,84753
Vampires Suck,Fox,36700000.0,43900000,2010,vampires suck,tt1666186,Vampires Suck,Vampires Suck,2010,82.0,Comedy,vampires suck,3.4,43984
Letters to Juliet,Sum.,53000000.0,26100000,2010,letters to juliet,tt0892318,Letters to Juliet,Letters to Juliet,2010,105.0,"Adventure,Comedy,Drama",letters to juliet,6.6,86137
The Back-Up Plan,CBS,37500000.0,40000000,2010,the back-up plan,tt1212436,The Back-up Plan,The Back-up Plan,2010,104.0,"Comedy,Romance",the back-up plan,5.4,46128
Diary of a Wimpy Kid,Fox,64000000.0,11700000,2010,diary of a wimpy kid,tt1196141,Diary of a Wimpy Kid,Diary of a Wimpy Kid,2010,94.0,"Comedy,Drama,Family",diary of a wimpy kid,6.2,38640
Easy A,SGem,58400000.0,16600000,2010,easy a,tt1282140,Easy A,Easy A,2010,92.0,"Comedy,Drama,Romance",easy a,7.1,330125
Takers,SGem,57700000.0,11300000,2010,takers,tt1135084,Takers,Takers,2010,107.0,"Action,Crime,Thriller",takers,6.2,53377
The American,Focus,35600000.0,32299999,2010,the american,tt1440728,The American,The American,2010,105.0,"Crime,Drama,Thriller",the american,6.3,86863
The Last Exorcism,LGF,41000000.0,26700000,2010,the last exorcism,tt1320244,The Last Exorcism,The Last Exorcism,2010,87.0,"Drama,Horror,Thriller",the last exorcism,5.6,45815
The Next Three Days,LGF,21100000.0,46300000,2010,the next three days,tt1458175,The Next Three Days,The Next Three Days,2010,133.0,"Action,Crime,Drama",the next three days,7.4,168066
Skyline,Uni.,21400000.0,45400000,2010,skyline,tt1564585,Skyline,Skyline,2010,92.0,"Action,Sci-Fi,Thriller",skyline,4.4,83710
Hot Tub Time Machine,MGM,50300000.0,14300000,2010,hot tub time machine,tt1231587,Hot Tub Time Machine,Hot Tub Time Machine,2010,101.0,"Comedy,Sci-Fi",hot tub time machine,6.4,153962
Devil,Uni.,33600000.0,29100000,2010,devil,tt1314655,Devil,Devil,2010,80.0,"Horror,Mystery,Thriller",devil,6.2,122080
127 Hours,FoxS,18300000.0,42400000,2010,127 hours,tt1542344,127 Hours,127 Hours,2010,94.0,"Adventure,Biography,Drama",127 hours,7.6,323949
Secretariat,BV,59700000.0,537000,2010,secretariat,tt1028576,Secretariat,Secretariat,2010,123.0,"Biography,Drama,Family",secretariat,7.2,24536
The Ghost Writer,Sum.,15500000.0,44700000,2010,the ghost writer,tt1139328,The Ghost Writer,The Ghost Writer,2010,128.0,"Drama,Mystery,Thriller",the ghost writer,7.2,148274
Morning Glory,Par.,31000000.0,29000000,2010,morning glory,tt1126618,Morning Glory,Morning Glory,2010,107.0,"Comedy,Drama,Romance",morning glory,6.5,67367
Remember Me,Sum.,19100000.0,37000000,2010,remember me,tt1403981,Remember Me,Remember Me,2010,113.0,"Drama,Romance",remember me,7.1,129443
Remember Me,Sum.,19100000.0,37000000,2010,remember me,tt4843358,Remember Me,Remember Me,2016,85.0,Comedy,remember me,5.2,72
Cop Out,WB,44900000.0,10700000,2010,cop out,tt1385867,Cop Out,Cop Out,2010,107.0,"Action,Comedy,Crime",cop out,5.6,81656
The Crazies,Over.,39100000.0,15700000,2010,the crazies,tt0455407,The Crazies,The Crazies,2010,101.0,"Horror,Thriller",the crazies,6.5,104465
From Paris with Love,LGF,24100000.0,28700000,2010,from paris with love,tt1179034,From Paris with Love,From Paris with Love,2010,92.0,"Action,Crime,Thriller",from paris with love,6.5,107079
Alpha and Omega,LGF,25100000.0,25400000,2010,alpha and omega,tt1213012,Alpha and Omega,Alpha and Omega,2010,90.0,"Adventure,Animation,Comedy",alpha and omega,5.3,12463
The Switch,Mira.,27800000.0,22100000,2010,the switch,tt0889573,The Switch,The Switch,2010,101.0,"Comedy,Drama,Romance",the switch,6.1,90661
She's Out of My League,Par.,32000000.0,17800000,2010,she's out of my league,tt0815236,She's Out of My League,She's Out of My League,2010,104.0,"Comedy,Romance",she's out of my league,6.4,117245
How Do You Know,Sony,30200000.0,18500000,2010,how do you know,tt1341188,How Do You Know,How Do You Know,2010,121.0,"Comedy,Drama,Romance",how do you know,5.4,41072
Charlie St. Cloud,Uni.,31200000.0,17000000,2010,charlie st. cloud,tt1438254,Charlie St. Cloud,Charlie St. Cloud,2010,99.0,"Drama,Fantasy,Romance",charlie st. cloud,6.5,55016
Scott Pilgrim vs. the World,Uni.,31500000.0,16100000,2010,scott pilgrim vs. the world,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",scott pilgrim vs. the world,7.5,339338
Heartbreaker,IFC,504000.0,46900000,2010,heartbreaker,tt1465487,Heartbreaker,L'arnacoeur,2010,105.0,"Comedy,Romance",heartbreaker,6.8,23995
The Spy Next Door,LGF,24300000.0,20900000,2010,the spy next door,tt1273678,The Spy Next Door,The Spy Next Door,2010,94.0,"Action,Comedy,Family",the spy next door,5.5,36767
Machete,Fox,26600000.0,17500000,2010,machete,tt0985694,Machete,Machete,2010,105.0,"Action,Crime,Thriller",machete,6.6,182320
The Man From Nowhere,CJ,528000.0,42500000,2010,the man from nowhere,tt1527788,The Man from Nowhere,Ajeossi,2010,119.0,"Action,Drama,Thriller",the man from nowhere,7.8,55247
When in Rome,BV,32700000.0,10400000,2010,when in rome,tt1185416,When in Rome,When in Rome,2010,91.0,"Comedy,Romance",when in rome,5.6,57396
My Name is Khan,FoxS,4000000.0,38300000,2010,my name is khan,tt1188996,My Name Is Khan,My Name Is Khan,2010,165.0,Drama,my name is khan,8.0,90988
My Name is Khan,FoxS,4000000.0,38300000,2010,my name is khan,tt3112992,My Name Is Khan,My Name Is Khan,2013,,Action,my name is khan,4.5,138
Going the Distance,WB (NL),17800000.0,24200000,2010,going the distance,tt1322312,Going the Distance,Going the Distance,2010,102.0,"Comedy,Romance",going the distance,6.3,54421
Going the Distance,WB (NL),17800000.0,24200000,2010,going the distance,tt6135412,Going the Distance,Kazoku e,2016,117.0,,going the distance,3.9,13
For Colored Girls,LGF,37700000.0,17300,2010,for colored girls,tt1405500,For Colored Girls,For Colored Girls,2010,133.0,Drama,for colored girls,6.1,6728
Furry Vengeance,Sum.,17600000.0,18600000,2010,furry vengeance,tt0492389,Furry Vengeance,Furry Vengeance,2010,92.0,"Comedy,Family",furry vengeance,3.8,14700
Faster,CBS,23200000.0,12400000,2010,faster,tt1433108,Faster,Faster,2010,98.0,"Action,Crime,Drama",faster,6.5,93618
The Kids Are All Right,Focus,20800000.0,13900000,2010,the kids are all right,tt0842926,The Kids Are All Right,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",the kids are all right,7.0,120656
You Will Meet a Tall Dark Stranger,SPC,3200000.0,31000000,2010,you will meet a tall dark stranger,tt1182350,You Will Meet a Tall Dark Stranger,You Will Meet a Tall Dark Stranger,2010,98.0,"Comedy,Drama,Romance",you will meet a tall dark stranger,6.3,41608
Leap Year,Uni.,25900000.0,6700000,2010,leap year,tt1216492,Leap Year,Leap Year,2010,100.0,"Comedy,Romance",leap year,6.5,86125
Leap Year,Uni.,25900000.0,6700000,2010,leap year,tt1537401,Leap Year,Año bisiesto,2010,94.0,"Drama,Romance",leap year,5.9,2211
You Again,BV,25700000.0,6300000,2010,you again,tt1414382,You Again,You Again,2010,105.0,"Comedy,Family,Romance",you again,5.8,46690
The Losers,WB,23600000.0,5800000,2010,the losers,tt0480255,The Losers,The Losers,2010,97.0,"Action,Adventure,Crime",the losers,6.4,83876
The Losers,WB,23600000.0,5800000,2010,the losers,tt3746918,The Losers,The Losers,2013,112.0,Drama,the losers,1.7,70
Ramona and Beezus,Fox,26200000.0,1100000,2010,ramona and beezus,tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",ramona and beezus,6.6,16086
Let Me In,Over.,12100000.0,12000000,2010,let me in,tt1228987,Let Me In,Let Me In,2010,116.0,"Drama,Fantasy,Horror",let me in,7.1,107012
Let Me In,Over.,12100000.0,12000000,2010,let me in,tt7122852,Let Me In,Let Me In,2017,74.0,Horror,let me in,5.1,7
Just Wright,FoxS,21500000.0,29900,2010,just wright,tt1407061,Just Wright,Just Wright,2010,100.0,"Comedy,Romance,Sport",just wright,5.9,12466
Our Family Wedding,FoxS,20300000.0,1200000,2010,our family wedding,tt1305583,Our Family Wedding,Our Family Wedding,2010,103.0,"Comedy,Romance",our family wedding,4.9,6417
My Soul to Take,Uni.,14700000.0,6200000,2010,my soul to take,tt0872230,My Soul to Take,My Soul to Take,2010,107.0,"Horror,Mystery,Thriller",my soul to take,4.8,18381
Country Strong,SGem,20200000.0,310000,2010,country strong,tt1555064,Country Strong,Country Strong,2010,117.0,"Drama,Music",country strong,6.3,16296
Another Year,SPC,3200000.0,16500000,2010,another year,tt1431181,Another Year,Another Year,2010,129.0,"Comedy,Drama",another year,7.3,26273
Another Year,SPC,3200000.0,16500000,2010,another year,tt3508808,Another Year,Eshche odin god,2014,107.0,"Drama,Romance",another year,6.6,294
Another Year,SPC,3200000.0,16500000,2010,another year,tt5886728,Another Year,You yi nian,2016,181.0,Documentary,another year,7.2,40
Buried,LGF,1000000.0,18100000,2010,buried,tt1462758,Buried,Buried,2010,95.0,"Drama,Mystery,Thriller",buried,7.0,139426
Buried,LGF,1000000.0,18100000,2010,buried,tt4540326,Buried,Buried,2011,95.0,Thriller,buried,6.0,5
Repo Men,Uni.,13800000.0,4600000,2010,repo men,tt1053424,Repo Men,Repo Men,2010,111.0,"Action,Crime,Sci-Fi",repo men,6.3,96144
The Nutcracker in 3D,Free,195000.0,16000000,2010,the nutcracker in 3d,tt1041804,The Nutcracker in 3D,The Nutcracker in 3D,2010,110.0,"Action,Family,Fantasy",the nutcracker in 3d,4.3,3119
Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,9900000,2010,sea rex 3d: journey to a prehistoric world,tt1529567,Sea Rex 3D: Journey to a Prehistoric World,Sea Rex 3D: Journey to a Prehistoric World,2010,41.0,Documentary,sea rex 3d: journey to a prehistoric world,6.9,364
I Hate Luv Storys,UTV,848000.0,14900000,2010,i hate luv storys,tt1667838,I Hate Luv Storys,I Hate Luv Storys,2010,129.0,"Comedy,Drama,Romance",i hate luv storys,5.7,6921
Extraordinary Measures,CBS,12100000.0,3100000,2010,extraordinary measures,tt1244659,Extraordinary Measures,Extraordinary Measures,2010,106.0,Drama,extraordinary measures,6.5,15673
Somewhere,Focus,1800000.0,12200000,2010,somewhere,tt1421051,Somewhere,Somewhere,2010,97.0,"Comedy,Drama",somewhere,6.3,40250
Winter's Bone,RAtt.,6500000.0,7300000,2010,winter's bone,tt1399683,Winter's Bone,Winter's Bone,2010,100.0,"Drama,Mystery",winter's bone,7.2,127751
The Last Station,SPC,6600000.0,6900000,2010,the last station,tt2627798,The Last Station,The Last Station,2011,,Drama,the last station,3.8,6
The Last Station,SPC,6600000.0,6900000,2010,the last station,tt3436064,The Last Station,La última estación,2012,90.0,Documentary,the last station,7.6,10
Raajneeti,UTV,1500000.0,11100000,2010,raajneeti,tt1291465,Raajneeti,Raajneeti,2010,163.0,"Crime,Drama",raajneeti,7.2,15214
Made in Dagenham,SPC,1100000.0,11300000,2010,made in dagenham,tt1371155,Made in Dagenham,Made in Dagenham,2010,113.0,"Biography,Comedy,Drama",made in dagenham,7.2,13121
Blue Valentine,Wein.,9700000.0,2600000,2010,blue valentine,tt1120985,Blue Valentine,Blue Valentine,2010,112.0,"Drama,Romance",blue valentine,7.4,170089
Tamara Drewe,SPC,560000.0,11400000,2010,tamara drewe,tt1486190,Tamara Drewe,Tamara Drewe,2010,107.0,"Comedy,Drama,Romance",tamara drewe,6.2,19362
Chloe,SPC,3100000.0,8600000,2010,chloe,tt1833881,Chloe,The 10 Commandments of Chloe,2013,73.0,"Drama,Music,Romance",chloe,6.9,34
The Warrior's Way,Rela.,5700000.0,5400000,2010,the warrior's way,tt1032751,The Warrior's Way,The Warrior's Way,2010,100.0,"Action,Fantasy,Western",the warrior's way,6.3,24271
Jonah Hex,WB,10500000.0,356000,2010,jonah hex,tt1075747,Jonah Hex,Jonah Hex,2010,81.0,"Action,Drama,Fantasy",jonah hex,4.7,51860
Cyrus,FoxS,7500000.0,2500000,2010,cyrus,tt1327709,Cyrus,Cyrus,2010,87.0,"Crime,Horror,Mystery",cyrus,4.7,944
Cyrus,FoxS,7500000.0,2500000,2010,cyrus,tt1336617,Cyrus,Cyrus,2010,91.0,"Comedy,Drama,Romance",cyrus,6.3,32457
Conviction,FoxS,6800000.0,2900000,2010,conviction,tt1244754,Conviction,Conviction,2010,107.0,"Biography,Crime,Drama",conviction,7.2,39771
Conviction,FoxS,6800000.0,2900000,2010,conviction,tt7799386,Conviction,Une intime conviction,2018,110.0,Drama,conviction,7.0,234
Babies,Focus,7300000.0,2200000,2010,babies,tt1020938,Babies,Bébé(s),2010,79.0,Documentary,babies,7.1,6672
Stone,Over.,1800000.0,7700000,2010,stone,tt1423995,Stone,Stone,2010,105.0,"Drama,Thriller",stone,5.4,38667
Stone,Over.,1800000.0,7700000,2010,stone,tt2156825,Stone,Kamen,2012,90.0,"Crime,Drama,Thriller",stone,5.6,607
Never Let Me Go,FoxS,2400000.0,7000000,2010,never let me go,tt1334260,Never Let Me Go,Never Let Me Go,2010,103.0,"Drama,Romance,Sci-Fi",never let me go,7.1,130084
MacGruber,Uni.,8500000.0,797000,2010,macgruber,tt1470023,MacGruber,MacGruber,2010,90.0,"Action,Comedy,Romance",macgruber,5.5,39782
Inside Job,SPC,4300000.0,3600000,2010,inside job,tt1645089,Inside Job,Inside Job,2010,109.0,"Crime,Documentary",inside job,8.3,65304
The Joneses,RAtt.,1500000.0,5500000,2010,the joneses,tt1152830,The Joneses,The Joneses,2011,117.0,"Comedy,Drama",the joneses,6.9,87
The Joneses,RAtt.,1500000.0,5500000,2010,the joneses,tt4360484,The Joneses,The Joneses,2016,80.0,"Biography,Documentary",the joneses,5.9,15
Centurion,Magn.,124000.0,6700000,2010,centurion,tt1020558,Centurion,Centurion,2010,97.0,"Action,Adventure,Drama",centurion,6.4,74085
Animal Kingdom,SPC,1000000.0,5700000,2010,animal kingdom,tt1313092,Animal Kingdom,Animal Kingdom,2010,113.0,"Crime,Drama",animal kingdom,7.3,51576
